jw-587|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-290|things that i do and to change the world the way that i can before i get up out|things that i do and to change the world the way that i can before i get up out
jw-257|period always remember that i love every single|period always remember that i love every single
jw-350|love for chicago i never really had nothing to hide like it was never really|love for chicago i never really had nothing to hide like it was never really
jw-518|one thing that my mom um instilled in me can't forget to give back no matter what|one thing that my mom um instilled in me can't forget to give back no matter what
jw-231|you see other people achieving and that's facts it always feels good to|you see other people achieving and that's facts it always feels good to
jw-485|discouraging people that you know use the word can't and try to hold you back|discouraging people that you know use the word can't and try to hold you back
jw-382|recording and when i'm performing my first tour and i just remember seeing|recording and when i'm performing my first tour and i just remember seeing
jw-353|not to do that going through some music not only is something that kind of|not to do that going through some music not only is something that kind of
jw-778|you things i say i say on purpose for people to look deeper into and maybe to|you things i say i say on purpose for people to look deeper into and maybe to
jw-795|no filter in my head like would it be not cool to talk about your|no filter in my head like would it be not cool to talk about your
jw-63|materialistic money stuff don't really mean nothing like there's still other|materialistic money stuff don't really mean nothing like there's still other
jw-166|no filter in my head like would it be not cool to talk about your|no filter in my head like would it be not cool to talk about your
jw-431|through as well as me trying to figure it out myself today i still thank god|through as well as me trying to figure it out myself today i still thank god
jw-624|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-820|and make sure that you know you're aware of your potential|and make sure that you know you're aware of your potential
jw-813|last one of y'all everybody get home safe game game|last one of y'all everybody get home safe game game
jw-328|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-19|emotions you know like it was never not in my conscience in my head to tell me|emotions you know like it was never not in my conscience in my head to tell me
jw-152|discouraging people that you know use the word can't and try to hold you back|discouraging people that you know use the word can't and try to hold you back
jw-90|that came from me i love you all too we're back home so you know it's big|that came from me i love you all too we're back home so you know it's big
jw-391|helps the situation pass i also make music talking about certain subjects|helps the situation pass i also make music talking about certain subjects
jw-479|period always remember that i love every single|period always remember that i love every single
jw-773|as long as you work hard give it your all and don't listen to what anybody got|as long as you work hard give it your all and don't listen to what anybody got
jw-650|helps the situation pass i also make music talking about certain subjects|helps the situation pass i also make music talking about certain subjects
jw-273|to myself i'm like wow all these kids are really here just|to myself i'm like wow all these kids are really here just
jw-472|substance abuse you got you know there's a lot of issues in the world to talk|substance abuse you got you know there's a lot of issues in the world to talk
jw-819|but you just gotta stay true to yourself|but you just gotta stay true to yourself
jw-156|earth so with that being said you can achieve anything if not more than what|earth so with that being said you can achieve anything if not more than what
jw-483|help them realize you know something that they didn't|help them realize you know something that they didn't
jw-285|materialistic money stuff don't really mean nothing like there's still other|materialistic money stuff don't really mean nothing like there's still other
jw-595|realize before about life throughout life is always gonna be a lot of|realize before about life throughout life is always gonna be a lot of
jw-357|through as well as me trying to figure it out myself today i still thank god|through as well as me trying to figure it out myself today i still thank god
jw-381|feelings every show i give my all times i enjoy myself the most is when i'm|feelings every show i give my all times i enjoy myself the most is when i'm
jw-661|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-134|me talking about certain things can help somebody else do what they're going|me talking about certain things can help somebody else do what they're going
jw-295|last one of y'all everybody get home safe game game|last one of y'all everybody get home safe game game
jw-398|substance abuse you got you know there's a lot of issues in the world to talk|substance abuse you got you know there's a lot of issues in the world to talk
jw-774|to say it's your world you could do what you want oh bro|to say it's your world you could do what you want oh bro
jw-594|help them realize you know something that they didn't|help them realize you know something that they didn't
jw-422|teed up because of me you know the songs that they're singing are you know songs|teed up because of me you know the songs that they're singing are you know songs
jw-476|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-225|realize before about life throughout life is always gonna be a lot of|realize before about life throughout life is always gonna be a lot of
jw-351|no filter in my head like would it be not cool to talk about your|no filter in my head like would it be not cool to talk about your
jw-430|me talking about certain things can help somebody else do what they're going|me talking about certain things can help somebody else do what they're going
jw-149|you things i say i say on purpose for people to look deeper into and maybe to|you things i say i say on purpose for people to look deeper into and maybe to
jw-326|far as the way i make music the way god made me the way god wired me to do the|far as the way i make music the way god made me the way god wired me to do the
jw-510|about i know music is just a beautiful thing like like i love myself so much as|about i know music is just a beautiful thing like like i love myself so much as
jw-621|about i know music is just a beautiful thing like like i love myself so much as|about i know music is just a beautiful thing like like i love myself so much as
jw-694|substance abuse you got you know there's a lot of issues in the world to talk|substance abuse you got you know there's a lot of issues in the world to talk
jw-644|teed up because of me you know the songs that they're singing are you know songs|teed up because of me you know the songs that they're singing are you know songs
jw-124|the energy of the crowd it felt crazy you know be me a performance and i think|the energy of the crowd it felt crazy you know be me a performance and i think
jw-230|earth so with that being said you can achieve anything if not more than what|earth so with that being said you can achieve anything if not more than what
jw-106|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-500|emotions you know like it was never not in my conscience in my head to tell me|emotions you know like it was never not in my conscience in my head to tell me
jw-12|recording and when i'm performing my first tour and i just remember seeing|recording and when i'm performing my first tour and i just remember seeing
jw-735|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-315|emotions you know like it was never not in my conscience in my head to tell me|emotions you know like it was never not in my conscience in my head to tell me
jw-148|one thing that my mom um instilled in me can't forget to give back no matter what|one thing that my mom um instilled in me can't forget to give back no matter what
jw-172|through as well as me trying to figure it out myself today i still thank god|through as well as me trying to figure it out myself today i still thank god
jw-775|period always remember that i love every single|period always remember that i love every single
jw-669|realize before about life throughout life is always gonna be a lot of|realize before about life throughout life is always gonna be a lot of
jw-708|but you just gotta stay true to yourself|but you just gotta stay true to yourself
jw-193|earth so with that being said you can achieve anything if not more than what|earth so with that being said you can achieve anything if not more than what
jw-272|the energy of the crowd it felt crazy you know be me a performance and i think|the energy of the crowd it felt crazy you know be me a performance and i think
jw-484|realize before about life throughout life is always gonna be a lot of|realize before about life throughout life is always gonna be a lot of
jw-591|last one of y'all everybody get home safe game game|last one of y'all everybody get home safe game game
jw-291|i want to tell you that you could do anything you put your mind to a period|i want to tell you that you could do anything you put your mind to a period
jw-265|and make sure that you know you're aware of your potential|and make sure that you know you're aware of your potential
jw-720|love for chicago i never really had nothing to hide like it was never really|love for chicago i never really had nothing to hide like it was never really
jw-542|through as well as me trying to figure it out myself today i still thank god|through as well as me trying to figure it out myself today i still thank god
jw-721|no filter in my head like would it be not cool to talk about your|no filter in my head like would it be not cool to talk about your
jw-416|you see other people achieving and that's facts it always feels good to|you see other people achieving and that's facts it always feels good to
jw-618|materialistic money stuff don't really mean nothing like there's still other|materialistic money stuff don't really mean nothing like there's still other
jw-171|me talking about certain things can help somebody else do what they're going|me talking about certain things can help somebody else do what they're going
jw-127|that came from me i love you all too we're back home so you know it's big|that came from me i love you all too we're back home so you know it's big
jw-551|as long as you work hard give it your all and don't listen to what anybody got|as long as you work hard give it your all and don't listen to what anybody got
jw-251|about i know music is just a beautiful thing like like i love myself so much as|about i know music is just a beautiful thing like like i love myself so much as
jw-129|no filter in my head like would it be not cool to talk about your|no filter in my head like would it be not cool to talk about your
jw-421|to myself i'm like wow all these kids are really here just|to myself i'm like wow all these kids are really here just
jw-415|earth so with that being said you can achieve anything if not more than what|earth so with that being said you can achieve anything if not more than what
jw-95|helps the situation pass i also make music talking about certain subjects|helps the situation pass i also make music talking about certain subjects
jw-739|last one of y'all everybody get home safe game game|last one of y'all everybody get home safe game game
jw-474|far as the way i make music the way god made me the way god wired me to do the|far as the way i make music the way god made me the way god wired me to do the
jw-531|the energy of the crowd it felt crazy you know be me a performance and i think|the energy of the crowd it felt crazy you know be me a performance and i think
jw-294|period always remember that i love every single|period always remember that i love every single
jw-35|period always remember that i love every single|period always remember that i love every single
jw-794|love for chicago i never really had nothing to hide like it was never really|love for chicago i never really had nothing to hide like it was never really
jw-555|one thing that my mom um instilled in me can't forget to give back no matter what|one thing that my mom um instilled in me can't forget to give back no matter what
jw-323|issues to talk about after that heartbreak right you got anxiety you got|issues to talk about after that heartbreak right you got anxiety you got
jw-226|discouraging people that you know use the word can't and try to hold you back|discouraging people that you know use the word can't and try to hold you back
jw-279|not to do that going through some music not only is something that kind of|not to do that going through some music not only is something that kind of
jw-768|substance abuse you got you know there's a lot of issues in the world to talk|substance abuse you got you know there's a lot of issues in the world to talk
jw-250|substance abuse you got you know there's a lot of issues in the world to talk|substance abuse you got you know there's a lot of issues in the world to talk
jw-89|teed up because of me you know the songs that they're singing are you know songs|teed up because of me you know the songs that they're singing are you know songs
jw-376|and make sure that you know you're aware of your potential|and make sure that you know you're aware of your potential
jw-744|discouraging people that you know use the word can't and try to hold you back|discouraging people that you know use the word can't and try to hold you back
jw-387|love for chicago i never really had nothing to hide like it was never really|love for chicago i never really had nothing to hide like it was never really
jw-164|that came from me i love you all too we're back home so you know it's big|that came from me i love you all too we're back home so you know it's big
jw-407|one thing that my mom um instilled in me can't forget to give back no matter what|one thing that my mom um instilled in me can't forget to give back no matter what
jw-788|feelings every show i give my all times i enjoy myself the most is when i'm|feelings every show i give my all times i enjoy myself the most is when i'm
jw-236|to myself i'm like wow all these kids are really here just|to myself i'm like wow all these kids are really here just
jw-639|come back home and feel the love and spread love it's one of the best|come back home and feel the love and spread love it's one of the best
jw-562|and make sure that you know that we're all human beings we all on the same|and make sure that you know that we're all human beings we all on the same
jw-602|come back home and feel the love and spread love it's one of the best|come back home and feel the love and spread love it's one of the best
jw-54|love for chicago i never really had nothing to hide like it was never really|love for chicago i never really had nothing to hide like it was never really
jw-712|you see other people achieving and that's facts it always feels good to|you see other people achieving and that's facts it always feels good to
jw-170|because i know that i'm not the only one going through you know what's happening|because i know that i'm not the only one going through you know what's happening
jw-136|for everything that you know he's put in front of me|for everything that you know he's put in front of me
jw-451|and make sure that you know that we're all human beings we all on the same|and make sure that you know that we're all human beings we all on the same
jw-118|and make sure that you know that we're all human beings we all on the same|and make sure that you know that we're all human beings we all on the same
jw-120|you see other people achieving and that's facts it always feels good to|you see other people achieving and that's facts it always feels good to
jw-753|the energy of the crowd it felt crazy you know be me a performance and i think|the energy of the crowd it felt crazy you know be me a performance and i think
jw-572|love for chicago i never really had nothing to hide like it was never really|love for chicago i never really had nothing to hide like it was never really
jw-658|about i know music is just a beautiful thing like like i love myself so much as|about i know music is just a beautiful thing like like i love myself so much as
jw-126|teed up because of me you know the songs that they're singing are you know songs|teed up because of me you know the songs that they're singing are you know songs
jw-634|but you just gotta stay true to yourself|but you just gotta stay true to yourself
jw-616|through as well as me trying to figure it out myself today i still thank god|through as well as me trying to figure it out myself today i still thank god
jw-599|and make sure that you know that we're all human beings we all on the same|and make sure that you know that we're all human beings we all on the same
jw-655|materialistic money stuff don't really mean nothing like there's still other|materialistic money stuff don't really mean nothing like there's still other
jw-567|recording and when i'm performing my first tour and i just remember seeing|recording and when i'm performing my first tour and i just remember seeing
jw-281|because i know that i'm not the only one going through you know what's happening|because i know that i'm not the only one going through you know what's happening
jw-34|to say it's your world you could do what you want oh bro|to say it's your world you could do what you want oh bro
jw-380|come back home and feel the love and spread love it's one of the best|come back home and feel the love and spread love it's one of the best
